,Frame,Slot,Type,0,1,2,3,4,5,6,7,8,9
0,0,0,DL,0,0,0,0,0,0,0,0,0,0
1,0,0,DL,0,0,0,0,0,0,0,0,0,0
2,0,0,DL,0,0,0,0,0,0,0,0,0,0
3,0,0,DL,0,0,0,0,0,0,0,0,0,0
4,0,0,DL,0,0,0,0,0,0,0,0,0,0
5,0,0,DL,0,0,0,0,0,0,0,0,0,0
6,0,0,DL,0,0,0,0,0,0,0,0,0,0
7,0,0,DL,0,0,0,0,0,0,0,0,0,0
8,0,0,DL,0,0,0,0,0,0,0,0,0,0
9,0,0,DL,0,0,0,0,0,0,0,0,0,0
10,0,0,DL,0,0,0,0,0,0,0,0,0,0
11,0,0,DL,0,0,0,0,0,0,0,0,0,0
12,0,0,DL,0,0,0,0,0,0,0,0,0,0
13,0,0,DL,0,0,0,0,0,0,0,0,0,0
14,0,1,DL,1,2,4,2,1,1,1,4,1,1
15,0,1,DL,1,2,4,2,1,1,1,4,1,1
16,0,1,DL,1,2,4,2,1,1,1,4,1,1
17,0,1,DL,1,2,4,2,1,1,1,4,1,1
18,0,1,DL,1,2,4,2,1,1,1,4,1,1
19,0,1,DL,1,2,4,2,1,1,1,4,1,1
20,0,1,DL,1,2,4,2,1,1,1,4,1,1
21,0,1,DL,1,2,4,2,1,1,1,4,1,1
22,0,1,DL,1,2,4,2,1,1,1,4,1,1
23,0,1,DL,1,2,4,2,1,1,1,4,1,1
24,0,1,DL,1,2,4,2,1,1,1,4,1,1
25,0,1,DL,1,2,4,2,1,1,1,4,1,1
26,0,1,DL,1,2,4,2,1,1,1,4,1,1
27,0,1,DL,1,2,4,2,1,1,1,4,1,1
28,0,2,DL,1,2,4,2,1,1,1,4,1,1
29,0,2,DL,1,2,4,2,1,1,1,4,1,1
30,0,2,DL,1,2,4,2,1,1,1,4,1,1
31,0,2,DL,1,2,4,2,1,1,1,4,1,1
32,0,2,DL,1,2,4,2,1,1,1,4,1,1
33,0,2,DL,1,2,4,2,1,1,1,4,1,1
34,0,2,DL,1,2,4,2,1,1,1,4,1,1
35,0,2,DL,1,2,4,2,1,1,1,4,1,1
36,0,2,G,0,0,0,0,0,0,0,0,0,0
37,0,2,G,0,0,0,0,0,0,0,0,0,0
38,0,2,UL,0,0,0,0,0,0,0,0,0,0
39,0,2,UL,0,0,0,0,0,0,0,0,0,0
40,0,2,UL,0,0,0,0,0,0,0,0,0,0
41,0,2,UL,0,0,0,0,0,0,0,0,0,0
42,0,3,UL,0,0,0,0,0,0,0,0,0,0
43,0,3,UL,0,0,0,0,0,0,0,0,0,0
44,0,3,UL,0,0,0,0,0,0,0,0,0,0
